11.096000	11.096000	B
19.374000	19.374000	B
24.887000	24.887000	B
30.405000	30.405000	B
30.426000	30.426000	B
33.153000	33.153000	B
33.283000	33.283000	B
33.673000	33.673000	B
33.760000	33.760000	B
34.879000	34.879000	B
34.968000	34.968000	B
35.761000	35.761000	B
35.906000	35.906000	B
36.003000	36.003000	B
36.465000	36.465000	B
36.483000	36.483000	B
36.501000	36.501000	B
36.518000	36.518000	B
37.640000	37.640000	B
37.725000	37.725000	B
38.667000	38.667000	B
38.742000	38.742000	B
39.206000	39.206000	B
39.237000	39.237000	B
39.257000	39.257000	B
39.277000	39.277000	B
40.396000	40.396000	B
40.485000	40.485000	B
41.263000	41.263000	B
41.315000	41.315000	B
41.426000	41.426000	B
41.954000	41.954000	B
41.964000	41.964000	B
41.982000	41.982000	B
42.020000	42.020000	B
42.037000	42.037000	B
43.155000	43.155000	B
43.242000	43.242000	B
44.023000	44.023000	B
44.210000	44.210000	B
44.239000	44.239000	B
44.296000	44.296000	B
44.315000	44.315000	B
44.708000	44.708000	B
45.914000	45.914000	B
46.002000	46.002000	B
46.785000	46.785000	B
46.952000	46.952000	B
47.054000	47.054000	B
47.486000	47.486000	B
47.499000	47.499000	B
47.519000	47.519000	B
47.536000	47.536000	B
47.554000	47.554000	B
48.674000	48.674000	B
48.760000	48.760000	B
49.702000	49.702000	B
49.758000	49.758000	B
50.240000	50.240000	B
50.271000	50.271000	B
50.292000	50.292000	B
50.312000	50.312000	B
51.431000	51.431000	B
51.519000	51.519000	B
52.297000	52.297000	B
52.348000	52.348000	B
52.461000	52.461000	B
52.574000	52.574000	B
52.987000	52.987000	B
53.016000	53.016000	B
53.054000	53.054000	B
53.071000	53.071000	B
55.248000	55.248000	B
55.274000	55.274000	B
55.744000	55.744000	B
55.812000	55.812000	B
55.827000	55.827000	B
56.947000	56.947000	B
56.999000	56.999000	B
57.016000	57.016000	B
57.039000	57.039000	B
57.831000	57.831000	B
58.007000	58.007000	B
58.110000	58.110000	B
58.505000	58.505000	B
58.588000	58.588000	B
58.607000	58.607000	B
59.558000	59.558000	B
59.575000	59.575000	B
59.706000	59.706000	B
59.741000	59.741000	B
59.756000	59.756000	B
